Image,Prompt,Category,Prompt_Chinese
0f04e2fe766b54523b7fe89174c7b2eb.JPEG,"A large pot was placed on top of a burning stove. The flames spread from the bottom of the pot and the mouth of the firewood. There were two stoves and pots on the left and right sides. Two people stood behind them, one with a brown hat and a green top. Wearing a black and white T-shirt and black trousers, he was holding a bucket with both hands and pouring the white powder into the pot. There was a shelf next to him with a stainless steel container and other items: on the left stood a fat man wearing a gray hat and a beard. The man was dressed in gray with black and red patterns, with black sleeves and collar. There was a wooden stick standing on the side. The person behind him was blocked by the person next to him. He only saw short hair and a gray-white coat. There were several shelves on the shelf behind him. Bottles of drinks with different flavors and colors are also different; the room is a bit crowded, and there are tables scattered with clothes and white woven bags with green words printed on them; the light in the room is soft and dim.",Human,一个烧着火的火炉上面搁着一口大锅，火焰从锅底和烧柴火的口蔓延出来，左右两边还各有两个火炉和锅，后面站着两个人，一个头带棕色绿色顶的帽子身穿黑白相间的体恤黑色裤子双手拿着一个桶在往锅里到这白色粉末，他的身边有个架子放着一个不锈钢容器和其它物品：左边站着一个微胖戴着灰色帽子有胡子茬的男人穿着灰色有黑色和红色花纹，衣袖和领口黑黑的，边上还有一根木棍竖着，后面一个人被边上的人挡住了只看到短发和灰白色外套，身后的架子放着几瓶不同口味的饮料，颜色也不相同；室内有点拥挤，边上还放着桌子散落有衣物，有白色编织袋印有绿色的字；室内光线柔和偏昏暗。
83115101fe2cef995452e139a807e5a0.JPEG,"In a tunnel paved with bright black bricks, the wall on the left side is covered with various papers. Standing by the wall is a man holding a guitar. He is wearing a mid-length black windbreaker and black trousers. hair, and there was a guitar bag on the ground in front of the man. In the middle of the tunnel, there is a man in a plaid hat sitting cross-legged under the left wall. A cane is placed on each side against the wall. There is a transparent box in front of him. He is turning his head to the left to look at the other end of the tunnel. There are four people. The person on the far left is holding a small jar in his right hand and a paper bag in his left hand. The second person from left to right has his hands in his pockets and his hat on his head. The third person is looking slightly to the side. ; The person on the far right is wearing a red shirt and holding a white bag in his hand; there are two rows of white lights on the top of the tunnel.",Human,亮黑色砖块铺成的隧道中，靠左侧墙面贴着各式各样的的纸，墙边站着一位手拿着吉他的男士，他穿着中长款黑色风衣和黑色裤子，短头发，在男士面前的地上放着一个吉他袋。隧道中间靠左边墙根下盘腿坐着一位带着格子帽子的人，两侧各一根拐杖靠墙放着，面前放着一个透明盒子，他正向左扭头看着，隧道的另一端迎面走来四个人，最左边的人拿右手拿着小罐子，左手拿着一个纸袋；从左往右第二个人双手插兜，衣服上的帽子戴在头上；第三个人略微侧头看向旁边；最右边的人穿着红色上衣，手里拿着一个白色的袋子；隧道顶上有两排白色的灯。
b25b9227b653e89d803e90ca6f5b7269.JPEG,"Three people sat facing each other on both sides of a long wooden table in the room. There was a black jar with flowers in the innermost part of the table. The young woman with short hair was operating the tea set on the table. The young woman with long hair put her hands on her knees and was watching carefully. There was another person hiding beside her. The walls on both sides of the room are lined with slender wooden tables, and the tables are filled with tea cups and tea bowls. There is a brown rectangular wooden cabinet hanging on each wall. Each cabinet is divided into square grids, and the grids are filled with tea bowls. Behind the long-haired woman is a half-meter-high turntable for making clay sculptures. Next to the turntable is a rectangular cabinet against the wall. On top of the cabinet is a set of white tea bowls and a log-colored square box with two gray utensils on it. , one tall and one short, with plants placed in tall containers. There is a black clay pot on the edge of the cabinet, with a green plant with leaves in it.",Human,房间内三个人面对着坐在一个长条形木质桌子的两侧，桌子的最里面有一个黑色的罐子，罐子里面插着鲜花。短头发的青年女子正在操作着桌子上的茶具，长发青年女子手放膝盖上正在认真的看着，她的一侧还有一个人藏在身旁。屋内两侧的墙边摆满了细长的的木质桌子，桌子上放满了茶杯和茶碗。每一面墙上都挂着一个褐色的长方形木质柜子，每个柜子内都被隔成了一个个方形的格子，格子内放满了茶碗。长发女子的身后有一个半米高的制作泥塑的转盘，转盘旁靠着墙角还有一个长方形柜子，柜子上面放着一套白色茶碗，和一个原木色方形盒子，盒子上面有两个灰色器皿，一高一矮，高的器皿里面放着植物，柜子的边缘处放着一个黑色的泥罐，里面放着一根绿色的带叶子的植物。
2881e62815e23350dbf10698afcb93b8.JPEG,"A road was lightly covered with white snow. The snow had stopped. Many pedestrians were walking on the road. They were all wearing thick clothes. Some shops were open on both sides of the road and some billboards were hung on the walls. Among the pedestrians walking with their backs to the right, there are two women walking at the back. One is wearing a black hat, black jacket, jeans, a white scarf tied around her neck, and a white bag on her shoulder. They are walking side by side with her. Another woman was carrying a gray-black backpack with a dense string of red balloons tied to it. She had gloves on her hands and a digital camera in her right hand. There were fewer people walking on the left side. The person walking at the front was a middle-aged lady, wearing a blue down jacket, a plush hat, and a rucksack on her chest with some patterns painted on it. . Far away on the left side of the road, there was a motorcycle parked, and the car was covered with a layer of white snowflakes.",Human,一条马路，被白雪浅浅的覆盖了一层，雪已停，许多行人来来往往地走在路上，他们都穿着厚厚的衣服，马路两旁开着一些店铺，墙上挂着一些广告牌。背向右侧行走的行人中，走在最后面的两名女士，一名带着黑色帽子，穿着黑色外套、牛仔裤，脖子上系着一条白色围巾，挎着一个白色的包，和她并行的另外一名女士，背着一个灰黑色的双肩背包，背包上系着一串密密麻麻的红色气球，手上带着手套，右手拿着一台数码相机。左侧相对而行的人群较少，走在最前面的是一个中年女士，穿着一件蓝色羽绒服，带着一顶毛绒帽子，胸前背着一个帆布背包，包上画着一些图案。道路左侧的远处，停着一辆摩托车，车上已经盖满了一层白色的雪花。
d60183d1b8f9b6ee3550fb36bee20a7e.JPEG,"Two boys were walking on a trail. Behind the two boys, there was a middle-aged woman looking back. There was another person standing on the right side of the trail. One of the two boys was wearing a blue T-shirt with many bears and yellow English letters printed on it. T-shirt and black shorts with white English letters printed on them. The other wore a yellow-green short-sleeved shirt with two cats printed on it, blue denim shorts and a blue hat. There were many clothes and a picture hanging above the path. There are messy lines and banners with red characters on a white background. The colors of the clothes are blue, white, red, and pink. There are black stone steps on both sides of the path. A mop hangs on the left side of the path. There are two rolling gates on the right side of the path. The middle-aged woman wears floral short-sleeves and red cropped trousers. At the end of the lane is a house with an open rolling shutter door.",Human,一条小道中走着两个男生，两个男生身后有一位中年女性正在回头看，小道右侧还有一个人站立着，这两位男生其中一个穿着印着许多小熊和黄色英文字母的蓝色T恤和印着白色英文字母的黑色短裤，另一个穿着印着两只猫图案的黄绿色短袖和蓝色牛仔短裤并且戴着蓝色的帽子，这条小道的上方挂着许多衣服和一张凌乱的线还有白底红字的条幅，衣服的颜色有蓝的白的红的粉的，小道两侧有黑色的石台阶，小道左侧挂着一个拖把，小道右侧有两扇卷闸门，中年女性穿着花短袖和红色的七分裤，小道尽头是一个打开的卷闸门房屋。
071c1dd794c609018cb2229d22d1b3b4.JPEG,"A group of people are working in front of a house with bamboo poles erected from the first floor to the third floor of the house. The first floor is a closed shop. The door of the shop on the first floor has a sign in English The name, there is a person standing on the bamboo frame in front of the door, there are many bamboos placed on the right side of the bamboo frame; in front of the bamboo stands a man carrying a one-shoulder crossbody bag, and a passerby walking to the right; the house There was a man standing on the bamboo frame outside the second floor. He was looking down. Looking to the third floor, there was also a man standing on the bamboo frame. To the right is a shop that is open. In front of the shop is a man and a woman walking to the left. There is a large plaque hanging vertically beside the shop.",Human,一群人在一个架着竹条的房子门前干活，竹条从第一层架到了房子的第三层，第一层是一个关着门的商铺，第一层的商铺门上带着英文的名字，门前的竹架上站着一个人，有好多竹子放靠在竹架右边上；在竹子前面站着一个背着单肩斜挎包的男人，还有一个往右走的路人；房子第二层外面的竹架上站着一个男人，他正往下看，往第三层看，也有一个人站在竹架上。往右是一个正在营业的商铺，商铺门前还有一男一女正往左边走来，商铺边上竖挂着着一副大大的牌匾。
adb45096ae90ddb9ea4d0d32262242f5.JPEG,"On one side of the stone floor with a square pattern, there is a three-story building. The first floor has a black round arch with blue paint around it. There is an eaves made of tiles above the door. Three people with different clothes and headscarves are sitting in front of them. There are two windows on the second and third floors of the building. There is a desk lamp on the right side of the window. There is a walking person under the desk lamp. The building There are two buildings on the right side with the same outer perimeter as this building, with only two floors. On the other side of the road, there are seven floors of stairs with the same style as the floor. There are two people sitting on the first step, and the seventh floor. There are two small blue doors on the right side of the stairs with diamond patterns on them.",Human,在有方块图案的石地板的一侧，有一栋三层建筑，第一层有一个黑色圆形拱门，其周围刷上了蓝色的漆，门的上方有由瓦块堆砌成的屋檐，门前靠坐着三个衣着各不相同，且都戴着头巾的人，建筑物的第二、三层各有两扇窗户，窗户右侧有一盏台灯，台灯下方有一个正在行走的人，建筑物右侧还有两个的外围与该建筑物相同，只有两层的建筑物，在路的另一侧有七层与地板同样款式的阶梯，第一阶上坐着两个人，第七层阶梯右侧有两扇蓝色的小门，门上有菱形图案。
9f44c4e06a045ad21a0fcb248d79ccd0.JPEG,"There are some chairs on both sides of the house. The chairs are all brown. There is a person in the fourth row from the bottom of the chair on the left. This person has black hair and is wearing a white dress. He has his hands raised above his head and is looking at a mobile phone. There is an aisle in the middle of the row of chairs. There are five floor lamps at the end of the aisle. There is a table between the third and fourth lamps. The table is covered with a white tablecloth, and a pot of green plants is placed on top of the tablecloth. Behind the plant is a stone table. There is a cross placed on the stone table. The cross is golden yellow with some patterns on it. There is a wall behind the cross, and there are two paintings on both sides of the wall.",Human,房子里面两边各放着一些椅子，椅子都是棕色的，在左边的椅子倒数第四排有一个人这个人有着黑色的头发穿着一件白色的衣服，双手高举过头拿着一台手机在看，两排椅子的中间有一条过道，过道的尽头有着五各落地灯，在第三和第四个灯的中间有着一个桌子，桌子上面铺了一个白色的桌布，桌布的上面放着一盆绿色的植物，植物的后面是一个石头的桌子，石头桌子上面放着一个十字架，十字架是金黄色的，上面有些一些花纹，在十字架身后有着一堵墙，墙的两边有着两幅画。
14a29f2d73b137e2b08d635ea97c309a.JPEG,"A street is paved with khaki stone bricks. There is a man sitting on the ground. This man has some tattoos on his right arm. He is wearing a yellow vest, an orange hat on his head, and a black There were shoes, black pants, and beside him there were many mineral water bottles, some black bags, boxes, and some daily necessities. There was also a piece of white paper on the ground, with some English letters written on it with a black pen. There was a person standing next to him playing a yellow guitar. This person was wearing a yellow top with some green patterns on it and a pair of gray-yellow trousers with some black patterns on the trousers. She was wearing a pair of black Shoes, is singing with her mouth open, her hair is black, she has a microphone hanging from her ear, and she is not wearing a hat",Human,一条街道，街道是由土黄色的石砖铺成的，地上坐着一个人，这个人的右胳膊上纹了一些纹身，他穿着黄色的小背心，头上戴着橙色的帽子，穿着黑色的鞋子，黑色的裤子，他的旁边还有很多，矿泉水瓶，一些黑色的袋子，箱子，还有一些生活用品，地上还放了一张白色的纸，纸上用黑笔写了一些英文字母，他旁边还站着一个人弹着一把黄色的吉他，这个人他穿着黄色的上衣，上衣上有一些绿色的图案以及一条灰黄色的裤子，裤子上也有一些黑色的图案，她穿着一双黑色的鞋子，正在张嘴唱歌，她的头发是黑色的，耳朵上挂着一个麦克风，没有戴帽子
1b6198426fa11cd38199681f812520c4.JPEG,"There is a wooden round table placed on a yellow wooden floor. There is a red wooden sofa on each side of the table. Four wooden chairs are placed around the round table. There is a golden ornament in the middle of the table. There is a wooden hearth behind the table. There are chandeliers hanging on the left and right sides of the hearth. There is a small wooden door on the left. Next to the small door is a model man in yellow clothes. On the right there is a bowl with various bowls. On the display cabinet for dishes and bottles, a golden-framed photo of a person is placed above the furnace wall. There is a yellow lamp on each photo. The light shines on the wall. There is a mural of five people wearing different clothes. On both sides of the painting are carved Portraits of different people.",Human,一块黄色木质的地板上摆放着一张木质圆桌子，桌子的两边各放着一张红色木质沙发，圆桌子的周围摆放着四张木质椅子，桌子的正中间放着一个金色的摆件，桌子的后方有一个木质炉壁，炉壁的左右两边各挂着一个吊灯，左边有一个木质小门，小门的旁边放着意义穿着黄衣服的模型人，右边有一个摆放着形形色色的碗碟瓶子的展示柜，炉壁上方各摆放了一张金色框的人物照片，照片上面各安着一个黄色灯，灯光照在墙壁上有五个人穿着不一的壁画，画的两旁是雕刻着不同人物的画像。
